#name	ra	dec	avgflux	peakflux
PKS1402+044	211.25467	4.25995	633.1428571	785
S20109+22	18.02427	22.74411	629.5217391	1265
B30710+439	108.40902	43.82145	623.3333333	724
OT463	264.86414	49.9176	622.4	724
PMNJ0217+0837	34.32135	8.61775	615.2	1132
PKS1203-26	181.3884	-26.56794	606.8333333	733
4C+40.01	3.37971	40.86032	605.5	829
4C+21.28	162.9533	21.3312	605	605
OM280	177.58005	24.29829	603.4285714	678
B21846+32A	282.09204	32.31739	603.1818182	1000
OD94.7	44.86282	7.79435	601.1666667	853
S40003+38	1.48823	38.33754	600.2	808
OP112	197.39139	11.90682	592.3636364	771
VIPS1080	261.0226	40.07679	591.8	673
OX183	328.10342	17.57717	573.6	684
PMNJ1511+0518	227.92416	5.30111	572.8571429	653
PKS1441+25	220.98705	25.02903	572.1428571	986
CGRABSJ1619+2247	244.81177	22.79663	572	611
PKS2047+098	312.4411	10.054	568.1666667	592
S41749+70	267.13684	70.09744	567.5384615	795
B21846+32B	282.1432	32.73335	566.3333333	602
PG1302-102	196.38756	-10.5554	564.9230769	1453
OR186	238.38625	12.9477	563.6666667	851
PKS0027+056	7.44123	5.91131	563	650
PMNJ2250-2806	342.6854	-28.11092	559.1818182	767
OC-230.4	20.13193	-27.02351	553.8	588
S41842+68	280.64017	68.15701	552.5	668
PKS2047+039	312.526	4.13025	550.3333333	573
S52353+81	359.09497	81.88118	541.8571429	613
B30650+453	103.59881	45.23987	531.9	1449
CRATESJ0856-1105	134.17418	-11.08734	523.4444444	748
S41716+68	259.05807	68.61076	519.5833333	561
S41030+61	158.46428	60.85204	509.2857143	741
VIPS0027	115.66579	54.74019	507.6666667	643
UGC00773	18.42977	2.37148	507.2857143	576
4C+48.41	254.44533	48.14251	506.6	608
B31151+408	178.47775	40.61462	498.3333333	563
OE-280	57.49094	-21.04659	493.1428571	626
OD-283	43.19981	-22.32374	491.6666667	673
PKS2254+074	344.3221	7.72008	489.1111111	831
PKS0139-09	25.35763	-9.4788	482.5	721
TXS2013+163	304.05774	16.54281	474	491
GB6J0929+5013	142.31435	50.22666	470.7272727	752
PKS1502+036	226.277	3.44189	468.6153846	592
GB6J0712+5033	108.18201	50.55631	466.5714286	549
ON246	187.55872	25.30198	462.5	485
3C78	47.10927	4.11092	461.6666667	507
B21015+35B	154.5457	35.711	456.8571429	763
B31708+433	257.4212	43.31237	452.2857143	936
PKS0837+012	129.95671	1.07409	450.6666667	561
3C390.3	280.53745	79.77142	443.6153846	543
PMNJ0948+0022	147.23885	0.37377	442	871
4C+58.17	133.67497	57.95832	441	547
PMNJ1532-1319	233.18906	-13.31947	437.6666667	556
PKS2127+04	322.637	5.03819	425	425
4C+15.54	241.7768	15.85958	423	484
TXS0506+056	77.35818	5.69315	421.2307692	593
NVSSJ105010+043251	162.54192	4.54698	419	476
Mrk421	166.11382	38.20883	417.4242424	605
PMNJ1344-1723	206.06001	-17.39455	414	677
7C2010+4619	303.0235	46.48216	411.3333333	607
TXS1700+685	255.03873	68.50193	409.6666667	521
CGRABSJ0111+3906	17.90549	39.10781	406	555
B21520+31	230.54163	31.73733	405.5714286	456
PKS1118-05	170.35457	-5.89906	398.25	522
